id,name,city,Followers,Follow,visited_places,contact_list,contact,Interest
66,Patrick,Ōsaka,"[1,4,7,8,9,10]","[4,7,8,9,10]","[KFC,Super mart,Macdonald]","[9230570084,9230570084,9230570084]",92305700922,[Politics]
67,Guy,Karachi,"[4,6,8,9,10]",,"[University,PSO]","[92305700857,92305700858,92305700859]",92305700923,[Entertainment]
68,Oliver,Bangalore,[abc],,"[Park,School]","[92305700845,92305700846,92305700847]",92305700924,"[Movies ,News]"
69,Theodore,Tehran,"[1,4,6,7,8,10]",,"[police station,service station]","[9230570084,9230570084,9230570084]",92305700925,"[Movies ,Music]"
70,Hugh,Kinshasa,"[6,7,8,9]","[1,4,6,7,8,9]","[KFC,Super mart,Macdonald]","[92305700857,92305700858,92305700859]",92305700926,[Politics]
71,Clyde,Ho Chi Minh City,"[1,4,6,7,8,9,10]","[4,6,7,8,9,10]","[University,PSO]","[92305700845,92305700846,92305700847]",92305700927,[Entertainment]
72,Alexander,Los Angeles,"[4,7,8,9,10]","[1,4,6,7,8,9,10]","[Park,School]","[9230570084,9230570084,9230570084]",92305700928,"[Movies ,News]"
73,August,Rio de Janeiro,[abc],"[4,6,7,8,9,10]","[police station,service station]","[92305700857,92305700858,92305700859]",92305700929,"[Movies ,Music]"
74,Floyd,Nanyang,[abc],,"[KFC,Super mart,Macdonald]","[92305700845,92305700846,92305700847]",92305700930,[Politics]
75,Homer,Chennai,[abc],"[1,4,6,7,8,9,10]","[University,PSO]","[9230570084,9230570084,9230570084]",92305700931,[Entertainment]
76,Jack,Chengdu,"[1,4,6,7,8,9]","[6,7,8,9,10]","[Park,School]","[92305700857,92305700858,92305700859]",92305700932,"[Movies ,News]"
77,Leonard,Lahore,"[4,6,7,8,9,10]","[1,4,6,7,8,9,10]","[police station,service station]","[92305700845,92305700846,92305700847]",92305700933,"[Movies ,Music]"
78,Horace,Paris,"[1,4,7,8,9,10]","[4,7,8,9,10]","[KFC,Super mart,Macdonald]","[9230570084,9230570084,9230570084]",92305700934,[Politics]
79,Marion,London,"[4,6,8,9,10]",,"[University,PSO]","[92305700857,92305700858,92305700859]",92305700935,[Entertainment]
80,Philip,Linyi,[abc],,"[Park,School]","[92305700845,92305700846,92305700847]",92305700936,"[Movies ,News]"
81,Allen,Tianjin,"[1,4,6,7,8,10]",,"[police station,service station]","[9230570084,9230570084,9230570084]",92305700937,"[Movies ,Music]"
82,Archie,Shijiazhuang,"[6,7,8,9]","[1,4,6,7,8,9]","[KFC,Super mart,Macdonald]","[92305700857,92305700858,92305700859]",92305700938,[Politics]
83,Stephen,Baoding,"[1,4,6,7,8,9,10]","[4,6,7,8,9,10]","[University,PSO]","[92305700845,92305700846,92305700847]",92305700939,[Entertainment]
84,Chester,Zhoukou,"[4,7,8,9,10]","[1,4,6,7,8,9,10]","[Park,School]","[9230570084,9230570084,9230570084]",92305700940,"[Movies ,News]"
85,Willis,Lima,[abc],"[4,6,7,8,9,10]","[police station,service station]","[92305700857,92305700858,92305700859]",92305700941,"[Movies ,Music]"
86,Raymond,Hyderābād,[abc],,,"[92305700845,92305700846,92305700847]",92305700942,[Politics]
87,Rufus,Bogotá,[abc],"[1,4,6,7,8,9,10]",,"[9230570084,9230570084,9230570084]",92305700943,[Entertainment]
88,Warren,Weifang,"[1,4,6,7,8,9]","[6,7,8,9,10]",,"[92305700857,92305700858,92305700859]",92305700944,"[Movies ,News]"
89,Jessie,Nagoya,"[4,6,7,8,9,10]","[1,4,6,7,8,9,10]",,"[92305700845,92305700846,92305700847]",92305700945,"[Movies ,Music]"
90,Milton,Wuhan,"[1,4,7,8,9,10]","[4,7,8,9,10]",,"[9230570084,9230570084,9230570084]",92305700946,[Politics]
91,Alex,Heze,"[4,6,8,9,10]",,,"[92305700857,92305700858,92305700859]",92305700947,[Entertainment]
92,Leo,Ganzhou,[abc],,,"[92305700845,92305700846,92305700847]",92305700948,"[Movies ,News]"
93,Julius,Tongshan,"[1,4,6,7,8,10]",,,"[9230570084,9230570084,9230570084]",92305700949,"[Movies ,Music]"
94,Ray,Wuhan,"[6,7,8,9]","[1,4,6,7,8,9]","[KFC,Super mart,Macdonald]","[92305700857,92305700858,92305700859]",92305700950,[Politics]
95,Sidney,Heze,"[1,4,6,7,8,9,10]","[4,6,7,8,9,10]","[University,PSO]","[92305700845,92305700846,92305700847]",92305700951,[Entertainment]
96,Bernard,Ganzhou,"[4,7,8,9,10]",,"[Park,School]","[9230570084,9230570084,9230570084]",92305700952,"[Movies ,News]"
97,Dan,Tongshan,[abc],,"[police station,service station]","[92305700857,92305700858,92305700859]",92305700953,"[Movies ,Music]"
98,Jerry,Islamabad,[abc],,"[KFC,Super mart,Macdonald]","[92305700845,92305700846,92305700847]",92305700954,[Politics]
12,abdul,sanawan,,,"[islamabad,jinnah]","[9230570084,9230570084,9230570084]",12345678910,"[Movies ,Music]"
